"","country","gender","health","happy","id","news","internet","polintr","cptppola","trstplt","trstprt","trstsci","vote","trstprl","lrscale","stfdem","stfhlth","stfedu","freehms","hmsacld","atcherp","agea","education","unemployd","partnr_educ","happy_scaled","health_centered"
"13262","HU","Female",2,5,23285,20,4,4,1,3,2,5,1,3,8,6,4,6,4,4,2,44,313,0,313,-1.04175017974137,-0.246007984031936
"13263","HU","Male",2,9,23296,30,5,2,1,0,1,1,1,1,10,3,3,3,3,3,9,35,321,0,321,0.906354018105718,-0.246007984031936
"13264","HU","Male",2,5,23306,5,5,4,1,0,0,4,2,0,NA,0,2,2,3,3,7,43,321,0,NA,-1.04175017974137,-0.246007984031936
"13265","HU","Female",3,3,23323,180,5,2,1,5,5,10,1,0,0,0,0,0,1,1,10,73,213,0,NA,-2.01580227866491,0.753992015968064
"13266","HU","Male",2,5,23327,10,4,3,1,5,3,4,1,1,8,6,3,4,3,3,4,28,321,0,NA,-1.04175017974137,-0.246007984031936
"13267","HU","Male",2,7,23329,60,5,2,1,2,2,3,1,0,0,0,2,6,3,3,8,56,321,0,321,-0.0676980808178235,-0.246007984031936
"13268","HU","Female",3,3,23331,0,1,4,1,0,0,8,1,0,0,0,0,6,2,3,7,86,213,0,NA,-2.01580227866491,0.753992015968064
"13269","HU","Female",2,8,23342,70,5,2,2,3,2,9,1,4,3,3,4,6,3,2,7,64,321,0,423,0.419327968643947,-0.246007984031936
"13270","HU","Male",1,7,23343,60,5,4,2,3,4,7,2,8,5,4,4,4,2,3,6,44,423,0,313,-0.0676980808178235,-1.24600798403194
"13271","HU","Female",4,5,23344,60,1,3,1,2,6,7,1,3,5,3,1,2,2,3,8,81,213,0,NA,-1.04175017974137,1.75399201596806
"13272","HU","Male",3,1,23355,1000,1,4,1,0,0,7,2,0,NA,0,NA,NA,5,5,6,64,213,0,NA,-2.98985437758845,0.753992015968064
"13273","HU","Female",1,10,23371,0,5,4,2,6,5,3,3,3,5,4,10,6,3,3,9,18,313,1,NA,1.39338006756749,-1.24600798403194
"13274","HU","Female",2,8,23383,30,5,4,1,1,0,8,1,2,5,1,0,2,2,3,6,51,313,0,423,0.419327968643947,-0.246007984031936
"13275","HU","Female",1,9,23387,90,5,3,3,9,8,9,1,8,7,8,7,6,4,4,8,51,313,0,313,0.906354018105718,-1.24600798403194
"13276","HU","Male",1,8,23399,10,1,3,1,5,4,6,3,5,5,5,5,6,4,4,8,24,321,0,321,0.419327968643947,-1.24600798403194
"13277","HU","Female",2,8,23402,30,3,3,1,6,5,9,1,7,5,6,7,7,1,5,10,63,NA,0,NA,0.419327968643947,-0.246007984031936
"13278","HU","Female",3,3,23419,0,1,4,NA,7,5,5,1,7,5,NA,5,5,2,5,8,54,213,0,213,-2.01580227866491,0.753992015968064
"13279","HU","Female",4,0,23422,150,1,4,1,1,2,8,2,4,7,10,NA,NA,2,2,10,79,321,0,NA,-3.47688042705022,1.75399201596806
"13280","HU","Female",3,4,23426,30,1,3,1,0,0,4,1,0,5,0,0,2,2,3,10,68,321,0,321,-1.52877622920314,0.753992015968064
"13281","HU","Male",1,5,23444,1073,5,4,4,2,3,4,2,6,9,10,9,8,2,4,9,19,313,1,NA,-1.04175017974137,-1.24600798403194
"13282","HU","Female",3,5,23472,40,1,2,3,6,6,6,2,5,6,7,8,7,3,3,5,74,213,0,NA,-1.04175017974137,0.753992015968064
"13283","HU","Male",2,8,23474,60,1,2,2,5,5,8,1,8,NA,8,7,8,1,1,8,61,321,0,NA,0.419327968643947,-0.246007984031936
"13284","HU","Female",1,8,23478,60,5,3,2,1,2,1,1,2,2,2,1,2,1,1,8,24,313,0,NA,0.419327968643947,-1.24600798403194
"13285","HU","Female",2,9,23479,481,5,3,1,4,6,8,1,8,5,8,8,8,2,2,10,45,323,0,323,0.906354018105718,-0.246007984031936
"13286","HU","Male",1,8,23482,0,5,3,NA,5,5,10,2,4,NA,7,7,7,5,5,7,21,323,0,NA,0.419327968643947,-1.24600798403194
"13287","HU","Male",1,6,23488,25,3,3,2,5,5,7,1,6,3,5,3,NA,5,5,8,43,321,0,NA,-0.554724130279594,-1.24600798403194
"13288","HU","Male",2,5,23493,45,5,3,3,4,5,4,2,5,4,5,5,5,3,3,5,59,313,0,313,-1.04175017974137,-0.246007984031936
"13289","HU","Female",4,4,23498,120,1,4,1,0,0,0,2,0,NA,2,0,2,5,5,3,83,213,0,NA,-1.52877622920314,1.75399201596806
"13290","HU","Male",2,8,23518,30,5,2,3,5,6,6,3,5,3,1,2,0,2,2,8,20,313,0,NA,0.419327968643947,-0.246007984031936
"13291","HU","Male",1,10,23550,150,1,3,1,2,1,4,2,2,7,7,7,0,1,5,10,46,213,0,NA,1.39338006756749,-1.24600798403194
